BJ;EBDL;OB;PERSNR;WTT;WMM;GESCHL;GEBTT;GEBMM;GEBJJJJ;GEBLAND;WGEM;PAR;BSTAAT;FAMST;KONVFL;KONVFL_A;PAR_A;ALTER;ALT31;BERQ
2005;7;;;;7;1;;;1950;5;7;101;11;2; ; ;101;54;55;3
2005;9;;;;5;1;;;1988;9;9;712;404;1; ; ;111;17;17;2
2005;8;;;;10;1;;;1993;8;8;711;8;1; ; ;120;12;12;4
2005;9;;;;1;1;;;1994;1;9;711;15;1; ; ;101;10;11;1
2005;9;;;;2;1;;;1991;8;0;124;8;1; ; ;124;13;14;1
2005;1;;;;12;1;;;1967;9;1;101;41;4; ; ;101;38;38;4
2005;1;;;;12;1;;;1974;8;1;111;8;2; ; ;111;31;31;4
2005;2;;;;6;1;;;1974;5;2;101;13;2; ; ;101;31;31;2
2005;9;;;;1;1;;;2000;1;9;711;13;1; ; ;111;4;5;1
2005;6;;;;2;1;;;1992;5;6;711;13;1; ; ;101;12;13;1
2005;4;;;;1;1;;;1976;8;4;101;8;2; ; ;101;28;29;1
2005;4;;;;1;1;;;1985;8;4;101;8;1; ; ;101;20;20;1
2005;6;;;;2;1;;;1992;1;6;711;15;1; ; ;120;12;13;1
2005;9;;;;8;1;;;1992;1;9;711;15;1; ; ;121;12;13;3
2005;9;;;;12;1;;;1992;9;0;124;205;1; ; ;124;13;13;4
2005;2;;;;7;1;;;1962;5;2;101;11;2; ; ;101;43;43;3
2005;3;;;;2;1;;;2001;1;3;711;11;1; ; ;101;3;4;1
2005;8;;;;6;1;;;1998;2;8;711;8;1; ; ;101;7;7;2
2005;5;;;;1;1;;;1991;1;5;711;8;1; ; ;101;13;14;1
2005;4;;;;1;1;;;1963;5;4;101;13;2; ; ;101;41;42;1
2005;4;;;;1;1;;;1973;8;4;120;8;2; ; ;120;31;32;1
2005;2;;;;7;1;;;2003;1;2;711;11;1; ; ;101;2;2;3
2005;9;;;;7;1;;;2001;9;0;124;760;1; ; ;124;4;4;3
2005;9;;;;12;1;;;1993;9;0;124;312;1; ; ;124;12;12;4
2005;1;;;;10;1;;;1965;9;1;101;662;2; ; ;101;40;40;4
2005;5;;;;2;1;;;1988;1;5;711;14;1; ; ;101;16;17;1
2005;6;;;;2;1;;;2002;1;6;711;41;1; ; ;101;2;3;1
2005;8;;;;5;1;;;1994;1;8;711;8;1; ; ;101;11;11;2
